filesize,avg_sourmash_time,std_sourmash_time,avg_frackmc_time,std_frackmc_time,avg_mash_time,std_mash_time
1,144.08510780334473,1.6774970767914683,13.396791140238443,0.7475319877926058,90.621,0.3628479938854139
2,187.5710977713267,0.6976254916072844,20.075564861297607,0.4535800188339782,120.52,0.5724724156382232
3,297.22862378756207,2.853718345598579,31.789929389953613,0.1760303261412339,192.53,1.18193551243525
4,376.31786545117694,1.0535370109243767,40.04804937044779,0.7532338201395089,246.28,3.3861114702397064
5,484.8983193238576,2.8611088152073516,47.113319635391235,1.6564142641134068,314.625,2.5787626231715577
