filesize,avg_frackmc_time,std_frackmc_time
1,170.07909417152405,8.224625460723713
2,220.9322154521942,2.4230706974849685
3,253.349672238032,4.896496893230041
4,324.25200208028156,7.8982850011441945
5,335.31594864527386,44.28005820567943
