filesize,avg_runtime,std_runtime
1,113.70100323359172,0.32145960387846695
2,133.45485178629556,0.06408302693246738
3,177.05937019983926,0.39833269825932144
4,228.94264165560404,0.18638028490788022
5,290.7219240665436,0.047499254142641945
